optimizer,transition_s,transition_label,n_files,RMSE_mean,RMSE_std,SI-SDR_mean,SI-SDR_std,LUFS-diff_mean,LUFS-diff_std
SGD,1.0,1 s,10,0.1307903480117441,0.026881470455451674,-37.57663387792746,9.200860273344817,6.546515570746528,5.4018986494654495
SGD,3.0,3 s,10,0.13153526546352054,0.025647038395349077,-41.83619270778816,13.6301027996377,6.7280767228868275,5.375742300005281
GHAM-1,1.0,1 s,10,0.12799305848789616,0.030721111159834225,-36.10353077663959,5.9916722847873345,8.18813705444336,4.529190504272633
GHAM-1,3.0,3 s,10,0.12797832192915126,0.030746682104902025,-37.0756479977819,7.29979361931656,8.369744873046875,4.454638366346141
Adam,1.0,1 s,10,0.14400416225242282,0.0345608300988688,-34.950263077254284,13.785911258203624,5.275607299804688,2.68287365995923
Adam,3.0,3 s,10,0.145602636326761,0.03288350297250181,-31.011910392938574,10.160657219746591,5.070254325866699,3.065100075648093
