file,song,optimizer,transition_s,transition_label,RMSE,SI-SDR,LUFS-diff
EQ_GHAM_1_FD_MSE_fl8192_tt1p0_MidnightBlue_HuntingSeason_MIX.wav,MidnightBlue_HuntingSeason_MIX,GHAM-1,1.0,1 s,0.17891427313184463,-48.23529414123626,5.679950714111328
EQ_GHAM_1_FD_MSE_fl8192_tt1p0_PoliceHearingDepartment_SchumannMovement1_MIX.wav,PoliceHearingDepartment_SchumannMovement1_MIX,GHAM-1,1.0,1 s,0.10558075736363566,-34.82247952432073,2.3185272216796875
EQ_GHAM_1_FD_MSE_fl8192_tt1p0_QuantumChromos_Circuits_MIX.wav,QuantumChromos_Circuits_MIX,GHAM-1,1.0,1 s,0.12388626129261145,-31.237599833745215,2.4956283569335938
EQ_GHAM_1_FD_MSE_fl8192_tt1p0_Sweat_AlmostAlways_MIX.wav,Sweat_AlmostAlways_MIX,GHAM-1,1.0,1 s,0.05536408194080048,-27.76975610373099,9.902250289916992
EQ_GHAM_1_FD_MSE_fl8192_tt1p0_TheTonTons_Lush_MIX.wav,TheTonTons_Lush_MIX,GHAM-1,1.0,1 s,0.14734221091123034,-37.7939408005098,8.479541778564453
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_CassandraJenkins_PerfectDay_MIX.wav,CassandraJenkins_PerfectDay_MIX,GHAM-1,3.0,3 s,0.12170045047287718,-31.053450382656933,13.862234115600586
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_DahkaBand_SoldierMan_MIX.wav,DahkaBand_SoldierMan_MIX,GHAM-1,3.0,3 s,0.13137526963578122,-45.54487622531358,12.065147399902344
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_FilthyBird_IdLikeToKnow_MIX.wav,FilthyBird_IdLikeToKnow_MIX,GHAM-1,3.0,3 s,0.13009738020327064,-31.722656885919342,1.7934818267822266
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_LewisAndClarke_TheSilverSea_MIX.wav,LewisAndClarke_TheSilverSea_MIX,GHAM-1,3.0,3 s,0.1334224234150377,-35.45870471338817,12.953277587890625
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_LittleTybee_TheAlchemist_MIX.wav,LittleTybee_TheAlchemist_MIX,GHAM-1,3.0,3 s,0.15227627758823786,-47.746583490127065,12.370885848999023
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_MidnightBlue_HuntingSeason_MIX.wav,MidnightBlue_HuntingSeason_MIX,GHAM-1,3.0,3 s,0.17892592867750443,-46.54732762426179,6.009143829345703
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_PoliceHearingDepartment_SchumannMovement1_MIX.wav,PoliceHearingDepartment_SchumannMovement1_MIX,GHAM-1,3.0,3 s,0.10558705532971446,-35.101756586720484,1.998006820678711
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_QuantumChromos_Circuits_MIX.wav,QuantumChromos_Circuits_MIX,GHAM-1,3.0,3 s,0.12388055350200314,-31.0512100189608,3.3940696716308594
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_Sweat_AlmostAlways_MIX.wav,Sweat_AlmostAlways_MIX,GHAM-1,3.0,3 s,0.05523479164336467,-25.493478798295527,9.260717391967773
EQ_GHAM_1_FD_MSE_fl8192_tt3p0_TheTonTons_Lush_MIX.wav,TheTonTons_Lush_MIX,GHAM-1,3.0,3 s,0.14728308882372124,-41.03643525217528,9.990484237670898
EQ_SGD_FD_MSE_fl8192_tt1p0_CassandraJenkins_PerfectDay_MIX.wav,CassandraJenkins_PerfectDay_MIX,SGD,1.0,1 s,0.11976409024749306,-39.36845461168759,0.6517124176025391
EQ_SGD_FD_MSE_fl8192_tt1p0_DahkaBand_SoldierMan_MIX.wav,DahkaBand_SoldierMan_MIX,SGD,1.0,1 s,0.13075859254105981,-54.84360947990301,2.260438919067383
EQ_SGD_FD_MSE_fl8192_tt1p0_FilthyBird_IdLikeToKnow_MIX.wav,FilthyBird_IdLikeToKnow_MIX,SGD,1.0,1 s,nan,nan,nan
EQ_SGD_FD_MSE_fl8192_tt1p0_LewisAndClarke_TheSilverSea_MIX.wav,LewisAndClarke_TheSilverSea_MIX,SGD,1.0,1 s,0.13080183833257622,-40.97350060162541,3.2613353729248047
EQ_SGD_FD_MSE_fl8192_tt1p0_LittleTybee_TheAlchemist_MIX.wav,LittleTybee_TheAlchemist_MIX,SGD,1.0,1 s,0.15372821864272287,-41.97770898023677,14.078792572021484
EQ_SGD_FD_MSE_fl8192_tt1p0_MidnightBlue_HuntingSeason_MIX.wav,MidnightBlue_HuntingSeason_MIX,SGD,1.0,1 s,0.1787758718895654,-38.23427763140326,14.333694458007812
EQ_SGD_FD_MSE_fl8192_tt1p0_PoliceHearingDepartment_SchumannMovement1_MIX.wav,PoliceHearingDepartment_SchumannMovement1_MIX,SGD,1.0,1 s,0.1055735492785877,-39.3468946673997,1.8759384155273438
EQ_SGD_FD_MSE_fl8192_tt1p0_QuantumChromos_Circuits_MIX.wav,QuantumChromos_Circuits_MIX,SGD,1.0,1 s,0.12638329871778523,-28.41820049283784,11.692205429077148
EQ_SGD_FD_MSE_fl8192_tt1p0_Sweat_AlmostAlways_MIX.wav,Sweat_AlmostAlways_MIX,SGD,1.0,1 s,0.08073352393566131,-19.157098672609987,1.4877605438232422
EQ_SGD_FD_MSE_fl8192_tt1p0_TheTonTons_Lush_MIX.wav,TheTonTons_Lush_MIX,SGD,1.0,1 s,0.15059414852024536,-35.86995976364365,9.276762008666992
EQ_SGD_FD_MSE_fl8192_tt3p0_CassandraJenkins_PerfectDay_MIX.wav,CassandraJenkins_PerfectDay_MIX,SGD,3.0,3 s,0.11976409024749306,-39.36845461168759,0.6517124176025391
EQ_SGD_FD_MSE_fl8192_tt3p0_DahkaBand_SoldierMan_MIX.wav,DahkaBand_SoldierMan_MIX,SGD,3.0,3 s,0.13075859254105981,-54.84360947990328,2.260438919067383
EQ_SGD_FD_MSE_fl8192_tt3p0_FilthyBird_IdLikeToKnow_MIX.wav,FilthyBird_IdLikeToKnow_MIX,SGD,3.0,3 s,nan,nan,nan
EQ_SGD_FD_MSE_fl8192_tt3p0_LewisAndClarke_TheSilverSea_MIX.wav,LewisAndClarke_TheSilverSea_MIX,SGD,3.0,3 s,0.13080183833257622,-40.97350060162529,3.2613353729248047
EQ_SGD_FD_MSE_fl8192_tt3p0_LittleTybee_TheAlchemist_MIX.wav,LittleTybee_TheAlchemist_MIX,SGD,3.0,3 s,0.15367648721359153,-44.46060532620181,14.123756408691406
EQ_SGD_FD_MSE_fl8192_tt3p0_MidnightBlue_HuntingSeason_MIX.wav,MidnightBlue_HuntingSeason_MIX,SGD,3.0,3 s,0.1789171180672564,-70.36681252171915,15.105514526367188
EQ_SGD_FD_MSE_fl8192_tt3p0_PoliceHearingDepartment_SchumannMovement1_MIX.wav,PoliceHearingDepartment_SchumannMovement1_MIX,SGD,3.0,3 s,0.10557354927858097,-39.346894667976116,1.8759384155273438
EQ_SGD_FD_MSE_fl8192_tt3p0_QuantumChromos_Circuits_MIX.wav,QuantumChromos_Circuits_MIX,SGD,3.0,3 s,0.1263890837023076,-28.561042576376444,11.640989303588867
EQ_SGD_FD_MSE_fl8192_tt3p0_Sweat_AlmostAlways_MIX.wav,Sweat_AlmostAlways_MIX,SGD,3.0,3 s,0.08712016377088624,-19.855479672447526,2.9037952423095703
EQ_SGD_FD_MSE_fl8192_tt3p0_TheTonTons_Lush_MIX.wav,TheTonTons_Lush_MIX,SGD,3.0,3 s,0.1508164660179329,-38.74933491215627,8.729209899902344
